,text,sentiment
63,left cali this morningin dallas nowmissing my car so much,0
64,awww too bad i wont be there id entertain the thought of entering,0
65,yeah tried it no go,0
66,is listening to the new jonas brothers song,1
67,not looking forward to the upcoming weekmy better half will be gone all that time its truly gonna suck big time,0
68,no i wish just a van that comes round we missed him,0
69,i envy everyone on aots,2
70,back to work i go,1
71,eleni i love you too,2
72,follow friday following more people then followers follow me woot followfriday,1
73,finally going home its been a long night ready to crash and have awesome dreams,2
74,still at home goodness,2
75,braving the standby line theview bright early today hope to hear about your book hope i get in times the charm,2
76,awww my lovies yes i love it all and im totally finishing my buffalo sammich after a few hits off the new bongie,2
77,happy mothers day to all beautiful mother may your love shines the world thank you mum,2
78,oh i hate the rain and septa and leaving my dog,0
79,yupunfortunately took today off work and just slept all day,0
80,major iphone problems wont let me send texts but i can do everything else can anyone help,1
81,im doing good thanks and yourself and sorry lil busy at the moment,2
82,had a great talk with tony this afternoon were going to give it another go,2
83,omgosh i just saw hattie wake up must be summer when your garden hedgehog comes out of hibernation,1
84,and i was the only person who stood up for them the world is full if spineless this makes me sad,0
85,today i wrote two songs one for temple which i will probably never perform ever and one for mothers day happy vesak everyone rena xoxo,2
86,feeling inspired this evening huh,2
87,cant believe er is over,1
88,watching star trek and next to watch it at the movie theater cause the movie is really worth it,2
89,nothing beats spending an evening with my mom,2
90,oh and before that last tweet i spent about half an hour on brushing my teeth with my new electric toothbrush i feel great,2
91,thank you i will have a look,2
92,we people im just an amateur ark builder no political affiliation all are welcome,1
93,washed eye out but got water up my sleeve,1
94,has had a fab day on placement but working all weekend,2
95,happy mothers day to all of the woman and the men who made them mothers,2
96,its no secret im an apple boy have considered the iphone dark side many times,1
97,who knows it makes me sad lol,0
98,from my heart to yours,1
99,last weekday of doing nothing school starts next week,1
100,yehey summer so exciteeeddd balme it on the aaaaaalcohol,2
101,feels sad coz i wasnt able to play with the guys,0
102,im hungry but cant eat anything right now because my tongue hurts so bad,0
103,more seo voodoo google has your cache noarchive only hides it from users,1
104,spray tan fail on legs and feet ive been scrubbing them and feet look better but they looked awful this morning everywhere else ok,0
105,just seeing if anyone was still awake,1
106,houdin blind faith thats a crackup,0
107,installed office for mac messed up all my fonts on safari on a stick help cant even read the solutions online badmicrosoft,0
108,heading home now yay was going to buy a much needed bottle of wine to drink with dinner but my wallet is mia so no wine for me tonight,1
109,someone in united states liked eleminis,1
110,had a little fight with my best friend what should i do,1
111,i got talent too u nvr hear me sing or dance them does call me mini breezy,1
112,twenty minutes on a call you would think that the person would mention there is already a trouble ticket investigating the issue,0
113,lol my current player is a brick it would be nice to have something slim,2
114,jane is really sad because she probably wont get perfect on tonights quiz without the missing article shouldve asked someone for it,0
115,ytony and didnt bring me any you suck,0
116,omg folding my laundry and matched all socks to its perfect pair good laundry folding day it is,2
117,wa cool looking forward to it now,2
118,is chatting with willy valdez about comics,1
119,im playing left dead with my friends gilbert and louie its so fun happy mothers day to all your moms,1
120,hugs back me too,2
121,is feeling really sick,0
122,audiotistic sneak your little butt in,1
123,my latest obession,2
124,first trip home since diwali but before that a couple of days in saddi dilli,1
125,no problem im just sharing the whole list to you,1
126,absolutely boiling got factor on must not turn orange must not look like oompa lumpa my left shoulder is burnt from yesterday,0
127,ok my friend is about to dye my hair black scary i know ill try to post some pics tonight if not tomorrow for ur verdict,0
128,maxin and relaxin almost bed time,1
129,just started on here and i already see and are by far the biggest talkers er i mean tweeters,2
130,trent reznor liddle beotch doesnt get his way this could be the title,1
131,good afternoon hope you have a great week,2
132,ams good for us gmtish people i think looking forward to it and hope youre batteries laptop will be recharged soon,2
133,lol awesome i have randoms following me,2
134,is having a lazy sunday,1
135,i cant to sleep and tomorrow i must wake up too early,0
136,this weekend was a very relaxing one i was at my cousins place and watch a tv series tru calling really cool,2
137,looking at this website should be working,2
138,end of work thank god i accomplished a number of things,2
139,yikeysss im harmless really just want some attention from brody,2
140,such a nice day today but stuck indoors revising weeks and it is all over,1
141,strugglingselfishness and jealousy doesnt get you any further in life ohh myyy,0
142,waitin for the man to get home so he can take me out been waitin hours,1
143,just got back from greenlake it was such a nice day today,2
144,thanks sissy be sure to check ur myspace tonight its gonna be something luv ya,2
145,i got no followers i only have like someone follow me please,1
146,i love you dont leave me,2
147,cunning i gotta go to my cousins grad party,2
148,hehe i found ya,2
149,hey fellow trojancongrats on graduation,2
150,what a let down no mri today neurosurgeon didnt order itwhich means we have to come back to okc soon we no nothing new,0
151,is watching big brothes big quiz rather tiredd but downloading a dvd so have to wait till finished till i can go to bed,0
152,in worst case cenario ill show up on offf with a white mask and scare everyone even better everyone should wear a mask besides me,0
153,mee too its looks amazeeeeeee,2
154,i dont feel well at all,0
155,they are evil mean people who hurt you i have a terrible phobia of dentists but had toothache from hell this week,0
156,dont follow your dreams chase them richard dumb who i think is very smart,2
157,its on todays menu dont worry,2
158,haha k we should stop here if not its going to turn into a section ohwell my parents just came home,1
159,i did,1
160,alright rawknrollnet live on next hours of vivid spring to summer music rawk on and enjoy,2
161,aww nice,2
162,head hurts bad,0
163,haha we just say two weeks but please do continue with the bre its great,2
164,thanks for sympathy it wasnt too bad until about an hour ago when i started thinking of the appointment tomorrow,2
165,have a good day,2
166,i hope the youngins enjoyed your wisdom,2
167,so bummed that i cant see ltj in june hoping for a uk yoke soon,0
168,michelle i slept for hours last night im still stick with this fever,0
169,um why cant i write tonight i like i want to write yet nothing no,2
170,feeling really dizzy not soo good,0
171,yea its my roadwarrior workaholic lifestyle,1
172,boredumsong of the day i caught myself by paramore and no good deed from the musical wicked oh and fully alive by flyleaf,0
173,actually i like almost everything about my job right now except the part where its not permanent,1
174,oooh sounds yummy if you get a chance to take some pics please add them to the website as we dont have many pies on there,2
175,i have get out this house,1
176,christie keep the faith itll be over soon,1
177,a headache once again ugh,0
178,i spent hours sitting out in the sun picnic lunch ice cream win we should have had a bbq today,2
179,sweat is just not cute unfortunately i havent figured out how to work out without sweating boo,0
180,this is what i think about the world at hannah montana set im missing tennessee alot today,0
181,yea i should know but tell me everything ps send me direct messages telling haha,1
182,i kno i shoulda came,1
183,yes my dear v,1
184,poor buddy being teased by mini puggy i think what you need is a pughug,1
185,i think today i shall listen to some gary numan before starting some remixes,1
186,tired from work i hate closing eek but all smiles today aloha kitchen yum,1
187,jumped on a train to visit or rescue my mom totally forgot my sweatshirt and forgot to bring my make up first time ever forgetting,0
188,ah wokking was great you could eat as much ice cream as you what i never eat so much ice cream in my life,1
189,haha sorry its past my bedtime,0
190,and u are doing brilliantly sweetie blessings and joy to you,2
191,well sure hope they can do that,1
192,finding out a song you had no idea was a cover is actually indeed that and then thinking that that is awesome makes my day,2
193,cool i used to live houses to the left of that place always something going on p,2
194,guess ill be running in a little bit accidentally fell asleep,1
195,what you said about aj made no sensehahaha what were you talking about and i loved that picture of you and colin,2
196,if there is anytime i need my car its now dammit,0
197,i am so tired,0
198,the priests were really good guess they wouldnt be welcome on late late at the moment,2
199,sadly that is so true,0
200,rofl i love you too trina,2
201,so true sad to say im glad youll be with me to be my support group,1
202,i think the very late night on friday just hit me off to town to meet a friend soon for ice cream and coffee,1
203,could barely sleep last night ughanyways good luck with finals everybody dont rush through your tests lol,1
204,lmao dimples naww thats cute ok ill try to remember first of winter is dimple day,2
205,good morning tis a rainy monday morningblahhh,2
206,spending the first night in my new place,1
207,i love you thomasi will always respect and support your decisionand ill miss you but youre gonna do amazing things you,2
208,my long lost friend,0
209,days,1
210,u just got me real excited cause i thought teniece was on twitter,1
211,and sykes will lose a few gigs while gaining some better ones frankly the best thing the rightards can do is scream about this,2
212,omg i know i give myself a stroke everytime i go getting mad at them quietly with the windows rolled up,0
213,will continue my dramathon episode here i come,1
214,did not win kelly clarkson tickets sorry cecilia really wish i could give that to you you so much deserve it,0
215,i bet so,1
216,you suck,0
217,i almost lost you again phone silly indy,0
218,good morning misfit passes you tylenol,2
219,true but if i dont put a case on it ill break it in a week dont worry ill find a way to make it work,1
220,its a good mix of developers content developers providers and venture folks,2
221,wow that was easy thank you,2
222,had a good end to a busy day and now im off to bed with a full belly of sushi,2
223,nt able to follow anyone friendorfollowcom here i come itsucks,0
224,its not much better than instant,1
225,what am i gonna watch after bgt bad times,0
226,here dude we got here n a table readyyy fo us,1
227,ouchhhhhh i burnt my frkn tongue,0
228,i had buy a new washer bought the dryer dryer labeled electric but is gas grrr now we have load it up tomorrow return it,0
229,bank holiday rain superb but a great excuse not to start gardening in the jungle at the back of our house eating it is then,2
230,forced to eat red hotdogs coz im starving and theres nothing else for breakfast ick,0
231,comon dude always think that things can get worst,0
232,goodnite sexy twiggas,2
233,nooo im not in love im just developing a crush a small one heehee my second one shadduppp,1
234,lou hahah hopefully enjoy your day,2
235,right making compromises is what kills us,0
236,has has an ok day with jo she bit me and now its bruised,0
237,its gonna suck being the only sober one tonight,0
238,awake again at on a saturday isnt this sleep in day oh well have some work to keep busy if only it was work keeping me awake,1
239,i kno im behind the times on this one but i just learned that troy tbag dixon died back on dec rip troy,1
240,i looked up some differents stuff for mine today,1
241,leo carillo beach and will rogers state park are on the list of state parks that might close,1
242,refusing to accept that the us holiday is over heading to woodies longboard diner in um hove,0
243,morning how is everyone,1
244,my body hurt i need a rub down like now,0
245,no but i just checked and got it lol you are ok i went live for a few minutes and everything is fine,2
246,possibly a carpenters numbertopical,1
247,awww that sucks,0
248,im good thanks may need youre advice soon as im playing with a new font of my own,2
249,month end still stuck in my office waiting for the stragglers to get there st together,0
250,just a reminder to hydra clients to check your email for important account updates,1
251,yeah still waitin,1
252,got insurance forms for polo feel a bit has to be done though,1
253,you need to remember the data the customer has entered on previous pages when they use the back button so so many dont do this,1
254,i try pretty hard to engage everyone i follow some of them lack interesting to say so they end up unfollowed,1
255,herdman middleclick is addictive what can i say,1
256,i saw the game not a huge cavs fan lol they pay refs but yaos out the rest of playoffs so la is cruising to the wcf,1
257,watching please twins gonna make some iced tea bd,1
258,its summer and no one has textedcalled me im a loner,0
259,praying the rosary with my family,1
260,jean awessomee cut my hurrr i give massage orr alkie or foodtour yeaaah ill pray for ur cousin,2
261,im gonna cryyy my car looked so good clean and its raining i always do thiswash it right before it rains,1
262,hahaha do it youll have a blast,2
263,did you get fired hugs,1
264,up early for class blahh hang over kiddies,1
265,its cuz you love me dont make me sad,1
266,i was thinking the swine markets are in decline but since we cant say that anymore,0
267,i didnt read the details so that may be it sara jayne is a kids show so it cant be that exciting,0
268,babe woo im getting mine on mondaycant wait x,2
269,needs somewhere to goits still lush out i want to be back out in it,1
270,sway sway baby zommgg love it need more screamo tho boys,2
271,cant wait to see you on december in switzerland for a third rendezvous great show you are just amazing enjoy in oz,2
272,i hate traffic dallas is nothing but traffic,0
273,my name is chad but i wont be here tomorrow,1
274,me too hehe i hate colds totaly annoying,0
275,hahaha my uncle does that coz my aunty is a who left her kids,1
276,i miss the air canada centre and andy frost,0
277,last library day before doomsday urgh was nice to wake up with my jbum though hes still sleeping now cute,1
278,i cant feel the weekend fever anymore when everyday is a day off,0
279,we picked up boston legal season enjoying it now no matter how offensive denny can be i love denny crane he is a riot,2
280,good to hear i got a bit of a tan today too which is unheard of for me i am so pasty white all the time mostly i freckle,1
281,ay dios mio weeks left of college ah cant wait,1
282,that and being so careless with her vocals,0
283,ive got nothing witty to tweet,2
284,will just take a bath,1
285,on my written i get less ideas every day and every day,0
286,bah a coworker ran into work late and her bag smacked into my knee it really hurts now,0
287,cool you should qik some stuff from the newsroom sometime lol,2
288,been there done that,1
289,everything is going wrong in my happy day,0
290,having problems with my blackberry ugh i need another charged battery least now,0
291,really all that ill look for it and will report back,1
292,much more injustice than we can imagine now it will get worse before it gets better i am afraid no doubt here sorry,0
293,check and check and yes i did and am,1
294,another day gone by have to wake up early again tomorrow,1
295,omg the mms in my pantry are calling my name ive been ignoring them all day it is driving me completely insane too many calories,0
296,besides feeling sicksome things have made me feel particularly happy,1
297,wnna take a bath,1
298,ooooo an explanation thank god for that or u would forever be wonderingi love a good night mare tho,2
299,heh i send dem when i get dem jen i was shocked i found so many these last few days earlier in the week nothing,0
300,soon my new job starts im so happy,2
301,ratt rocked nashville toniteone thing sucked no encore like in the they still have a fun show pearcy has that hott bad boy look,1
302,bc we only have baby phat phat farm applebottoms fubu and they come up pretty weak double,0
303,took the most amazing power nap ever now its starbucks time,2
304,good morning to the world hope everyone is ok,2
305,first session yay me,2
306,this is the best ecommerce site i hope youve watched the big bang theory please hit buy now,2
307,its pouring and i have holes in my shoes,1
308,that is really sad,0
309,you are amazing as alice as if she was made for you thank you for everything i now have a face for the character,2
310,live long and prosper lol star trek was the best,2
311,i read the disclaimer i had to close my browser,1
312,the sing store wont work,1
313,i feel like a princess i love lingerie parties,2
314,me too i need the sudden urge to do it missing the diplomat title,0
315,im trying to fix myself really but i need to stop cutting myself,0
316,someone just sent me a random phone pic of asian cats with the paws in the air like in sushichinese restaurants and i dont know who,1
317,eminems new song beautiful is amazing listen to the magic right now,2
318,done goin home to eat dindin and contemplate what the night holds for me,1
319,i forgot the yardsale event ooh how pity i am,0
320,i nvr wanted may to come to an end,2
321,new issue of in the officedesperately want to flick through but have so much to do itll have to wait,0
322,not a problem glad to,2
323,you are my apple and i wana take a bite,1
324,stupid competition stuff keeps getting in the way but i am going to get some words in today if it kills me writes,0
325,my besties if only was there,2
326,im bored extremely bored in the car waiting for my dad and dinner chinese yummm,1
327,we always miss each other dont we,0
328,aww that sucks,0
329,done a bump out and now back in bed seemingly unable to muster the energy to get up again sundays are great,1
330,gonna go round up some dvds to sell i will miss them but i need money,0
331,fo shizzle im bored and wanna go do something wish i went to pisay today oh wellz wonder who were there,0
332,ahhhhh it none of my friends want to see it and they dont wanna chill tonight so its just me myself and i,0
333,omg i cant believe jay leno is going off the air i hate conan obrian,0
334,thanks just awesome,2
335,eliza ohhhh that makes sense then and i need to reread the lotr trilogy i lost the three books a long time ago and im sad,0
336,ok time for bed good night twitter,2
337,sportsmens warehouse finally got field points in i can now use all my arrows,1
338,time for some then,1
339,o its feels like a hot box and no matter where i go in here it still feels like a hot box ice cream isnt working n e more,0
340,mueller yes i love it its just a little bit complicated because i want it on my bb but it doesnt work,1
341,heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,0
342,rey mysterio is so awesome,2
343,happy mommy day teensthanks fff,2
344,love it you look fabulous and it was so nice to learn something new about you,2
345,meh almost didnt sleep aint finished anything im close to cancel the dokomi,0
346,i am sorry,0
347,says i got cards today from eva n clara thanks guys,2
348,left up due to outoffocus projection hopefully my complaints to theater management will get it fixed for everyone else still there,1
349,especially hard to get out of bed with myself this morn cuz im hot now running late stuck in front of the mirror checking myself out,0
350,nic has no idea what hes going to do money is all gone,0
351,sweetie if you refuse to offend who will we expect it nay we count on it,1
352,just paid for a dedicated server would rather get a slice but i using ms sql,1
353,my phone is ultra fast now with all the latest firmware updates installed,1
354,suprised mom with a cake and a present because its mothers day dad had bought flowers,2
355,can you send ringtones to iphones idk how to regular ringtones for it,1
356,you are not old youre just comfy like worn in sweats said with all the love my sarcastic heart can muster,1
357,sadly isnt me its w follower update hasnt used twitter since may i wanted that name too,0
358,i need to read fic again but i lost it,1
359,on youtube watching taylor on the today show wish i was there,2
360,looking at old pictures i love it miss the good ol days,2
361,perth awesomelove top gearwhos your favouritegot to admit i have a soft spot for captain slow,2
362,re edwards i hope so,2
363,im hungry i want scrambled eggs again my grandma always makes perfect scrambled eggs my mum sucks at it so ill go make some myself,1
364,had some lovely sugar puffs and just been playing with my amazing dog jack,2
365,hours of sleep a migraine again what is wrong with me hate my life,0
366,watching the original sabrina the teenage witch movie so different from the series but so rad,2
367,i watched wayyyy too much beverly hills today and i am not proud of that fact tv fail,0
368,thank you ive had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine,1
369,round and round the garden the amazing thing is that hes still talking to me,2
370,aaaaw no are the windows open and that,0
371,why thx webdu i was only at the conf on thurs,1
372,thank you guts for followers it means a lot,2
373,i wlda seen it wit you dummyhead,0
374,i was in chiangmai for a month last year during loy krathong best festival ever,2
375,thank you x,2
376,joe just put a new bulb in my spotlight,1
377,blue the chauffeur from some kind of wonderful was my idea of a perfect woman,2
378,soon good luck brawn and mclaren fix up look sharp p,2
379,i only saw urs by chance who else would have that name think ill b missing too thank god for youtube,2
380,why are you surprised,1
381,hahah thanks for the tradewinds odyssey bump,2
382,incase i forget happy mothers day to all you moms out there and to my mommy the very best one in the world,2
383,went to the hawksmoor last night and probably had the best steak ive ever had,2
384,had an answered prayer which caught me by surprise lord you are amazing,2
385,went swimming with the fam for over hours were a little toasty,1
386,happy mamas day to all mothers,2
387,photo got my prints a few days ago ready for the norskart exhibition,1
388,watching mens volleyball on tv for some reason its not as good as womens beach volleyball cant quite place why,0
389,brittany moved,1
390,great more rain,2
391,im afraid your comments on mps expenses were hopelessly out of touch with the average person average salary vinsensitive,0
392,radio im too awake now ill have a nap this afternoon,1
393,oh noooooo im so sorry that sucks hard,0
394,producing the with then anchoring and a sad goodbye to miss lynne ashminov we will miss you,0
395,ho yay you can eat proper food now,2
396,downloadfestivals lineup isnt as good as i thought it was there are some other awesome bands doing the festivals but missing dl,1
397,and other girls come over and my boyfriend forgets that im here,0
398,i am tired,0
399,i would love to see the sun again it has been raining here for days now,2
400,sun where are you,1
401,caine i saw it it made me sad,0
402,sad that everyone is leaving me,0
403,just got home yay hi guys,1
404,feeling like hope its not swine flu or something,0
405,have just bought a tv tuner for my laptop he he i deserve a present,2
406,its the little thing that links us to england,1
407,laurie sorry to hear about a horrible weekend it can only get better keep smiling,1
408,got a case of the bubblies,1
409,ugh im so tired waitin for the bus good morning,0
410,i dont noe what to eat for breakfast hmmmmmmm im so hungry,1
411,thinks its gonna rain,1
412,cant set up my phone on twitter,1
413,sure is rainy the storm has left everything everywhere would love u follow us,1
414,happy friday i just realized i left my cell phone at home today though,2
415,awwww nsty when ppl make fun of someone laugh their asses off when the see ur not laughing that shoud be a hint wrong,0
416,ah its getting there still a fair bit to go but its coming together fairly well aw where are you from,2
417,alright sorry but i think you should go anyways,0
418,ahaha its stuck in my head thanxx,2
419,morning michelle hows the oatmeal,1
420,sittin on d bed about fall asleep,1
421,is bad he still is,0
422,happy bank holiday monday twitter bath time spring clean movie marathon lazy day,2
423,i just added a butt to your name in my phone after i made you go home in the cold because i love you,2
424,if one people did any wrong the world blames all the people over there this is the great world which we are living in,0
425,theres a fricken prisnor trans outside r hotel so far,1
426,well i will send out an email and you all can pick your fave cake and ice cream flavor and the cup part is belgian chocolate,1
427,dont let the sun catch you crying oh my so cool,2
428,off to sacto to take babies to kennel,1
429,sitting here with nathan eddie brenden chilling out at am haha great day i love my life,2
430,ottawa have fun,2
431,its been interesting today to say the least overall a good day,2
432,said final farewells to roommate almost finished packing then its dc or bust on the california i divorce you x,1
433,it was jokes me love the magreally,2
434,happy mothers day,2
435,wheres yummiest pan mee for me its behind dance center ipoh garden south and i miss it,0
436,happy mothers day to all mothers out there i am not one myself but i have been called something along those lines,2
437,is looking forward to tonights dinner date with mom is gymming this afternoon started bawas kanin less rice movement is celibate,1
438,done jack in the green today it was good a killer walking up the west hill though listening to will and the people,2
439,aw it was so sad shes too cute,1
440,be sure to go by my blog today and check out your friends i bet you have some new ones today,1
441,no seriously you guys i wanted to kick monday off with starwarswithaddedpants spam really,0
442,have a good day girl ill call you later,2
443,you are a slow answerer,0
444,are you daft your now going to recieve a million friend invites on xbox now and one of them shall be me,1
445,weve just ½c todaycold wind want it like ½ to ½ i love hot weather but i reaped the strawberry yday,1
446,mja i dont know who gon do the yelling cussing for upgrades when u go,1
447,are you and melissa celebrities now,1
448,picat,1
449,you make me happy whether you know it or not,2
450,cant wait to leave work,1
451,learning all about nonpayment from a client for a new business this is a headache i was hoping to avoid,1
452,home home last time to step outside for some life,1
453,goooood morning melody wishing you a wonderful mothers day with your family,2
454,crappy music on the radio,0
455,didnt make to my cousins yacht convention hope he doesnt get upset and hope he won,2
456,hello back to work today after a week of vacation,1
457,have a great night it was so nice meeting you last night you are a sweetheart xoxoxo bye for now,2
458,i went to the world education fair today it was a whole different kind of circus,1
459,i really want to go to artesia cerritos on sunday for quest lol imma die if i dont,1
460,speaking of which we need to talk soon,1
461,getting axkit running on ubuntu is making my head explode,0
462,uggg my computer is running sooo slow today its driving me batty guess its time to remove files and defrag again ugg want a mac,0
463,im a minute in and i want to strangle the used car salesman doing the presentation is he related to the shamwow guy,1
464,ha youll do fine just be positive aha i know huh wht a long conversation i remeber you and allyson did even lnger ones x,2
465,work close,1
466,haha i just watch a funny video on youtube made my day,2
467,phillips she says yes shall we say,1
468,since the demise of woolworths it isnt easy to find reasonably priced pick n mix anywhere,0
469,haha yeahh im still following u tho,1
470,how to get a trumpet book get caught in the rain with an trumpet book oh dear ny,0
471,thats gorgeous ill check out your new pics,2
472,after sleeping in the rest of the day was busy however i got to spend the last of it with my favorite babysittee the kids are great,2
473,i wish i could just go for a driveor a movie or the storei just wanna be alone,0
474,mourning venus third round loss,0
475,my best friend is comingexcited,2
476,hey hey get tickets to all time low when theyre in aussie kay yup go there get tickets,1
477,hopefully the weather has been nicecooperating,2
478,is home whoott happy mothers day madre,2
479,happy mothers day to you beautiful,2
480,happy mothersday,2
481,good evening terri have missed you lately hope life is being good to you have a wonderful evening,1
482,good am all hanging out with ma dad looking for a job still,2
483,couper ive heard that of my sons have seen it and one wants to see it again i cant wait to get there,1
484,theres no such thing,1
485,actually i think the na release date was confirmed for september so its a bit more of a wait,1
486,suffering benadryl hangover this morning and a killer headache ugh,0
487,lucy is hating on my gweg,0
488,no rockin on the river for me tonight,1
489,yep they are open its sunday hours tho,1
490,in class till wishing the rain would go away,1
491,less or more itunes tuned up,1
492,is it a test to gauge audience reaction who are you,1
493,least u can get some more im broke,0
494,reminising on such a wonderful day yesterday with my family and my love nothing like shooting some basketball with the men in my life,2
495,i just watched my favorite movie a walk to remember its so romantic and sad i just love it,1
496,yeah that will keep my mid section down,1
497,davis are you headed to a conference oh and if youre doing the book buying ban you can always borrow right,1
498,at homeeboring but its okiee gonna see the boyfriend and his momma tomorrow for momma dayy,1
499,someone would give a speech about loved ones in the hospital stupid comm class,0
500,why is it your last ever uk tour x,1
501,wooow i havent charged my ipod touch all day today and its still alive thats so coolio,2
502,just recollecting my jog this am almost perfect except unkown type hanging out by my vehicle too much mental noise only mile jog,1
503,hey phillll wazzuppppp,1
504,fashion show is done only one slipnow cooking having a glass of wine or two,1
505,your vid wont play x,1
506,victor drew hannah montanna in my yearbookhahaha im going to miss my per so much,1
507,writing a song,1
508,me andrew no idea about the rest i think it was ben and princeton which could be fun lol im going to be late,2
509,thinking bout maddies comments,1
510,moveout should be fun thank you vt students for working to make vt the best that it can possibly be,2
511,i know its so crazy i love using it too have you seen my yt recently i am a partner now,2
512,just sittin here waitin for my coffee to be full grown on farm town before going to bed,1
513,happy mothers day,2
514,im going to try get some sleep i got work mostly all day im training for bakery also glammyyy crocker on deck lmao text or call,1
515,hey laurenim a huge fan i hope you are having fun at wango tango,2
516,ofmax sadly no now david tennant has left i dont particularly want the job anyway,0
517,i love those creditcardsized memory sticks and microsoft keeps sending them to me,2
518,omg that dunk on dampier was massive big ups love it,2
519,yesmet jon last yr at an interesting questionning agile agile session dont see him on this yrs schedule,2
520,happy to see kurt spin,2
521,oof perhaps its time to start a moronmonday shoutout meme,1
522,i lost my voice,0
523,heading south on jacked mess around sr,1
524,thanks well impressed its much better than my last one must b the clean living gluten free lactose free food,2
525,is enough time if i get into vip but i know that doesnt make up for it at least theyll have each other,1
526,hey chelsea is your arm hurtig from the vaccines we had todayyy loveeya,1
527,brazil looooooooves you i miss you may the perfect day off,2
528,wheres enthusiasm in meeeee,0
529,noooooo worst news ever today my tattoo artist is moving omg what am i going to do,0
530,im not going on the cruise wish i was but im just going on vacation thanks though,2
531,esther rhymes with investor tester jester pester polyester semester sylvester requester just to name a few,1
532,lmao yeaa iight n u shuld put tha cb flick up w on ur head juss a joke,2
533,is a sleepyhead looking forward to tomorrow i love his family,2
534,gone to the shiggity shwa back sunday,1
535,hahahaha awww uduhn lun me no mor,1
536,i love wearing my hood too even though in portsmouth i usually get terrified looks from pensioners when i do,1
537,jesusim being slammed via dms from the papaya lobbyists ok holy mangosteen durian or papayaor cybersecurity on a stick,0
538,okayyy you can read it to me cause then ill feel special haha,2
539,sniff sniff i want thie app for my iphone but its only in america free anime games shows and more for you iphone win but no uk,1
540,i want more but its just so bittersweet lol,1
